,CompanyName:,BusinessintheStateof:,HIOSIssuerID:,MEMBER_MONTHS_INDIVIDUAL:,MEMBER_MONTHS_SMALL_GROUP,EXPECTED_REINSURANCE,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),Not-For-Profit:
1878,American General Life Insurance Company,Wisconsin,59810,0.0,,,,,,,,No
1879,HealthPlus Insurance Company,Michigan,59830,244364.0,64372.0,8257699.0,-3647378.0,-322954.0,"$8,257,698.56 ","($3,647,377.54)","($322,954.15)",No
1880,Unimerica Insurance Company,Pennsylvania,59848,0.0,0.0,0.0,0.0,0.0,,,,No
1881,Reliance Standard Life Insurance Company,Illinois,59928,,,,,,,,,No
1882,AMERICAN FIDELITY ASSURANCE COMPANY,Colorado,59970,,,,,,,,,No
1883,John Alden Life Insurance Company,North Carolina,59977,5325.0,4125.0,0.0,-115565.0,-40669.0,$0.00 ,"($115,565.12)","($40,668.98)",No
1884,Mid-West National Life Insurance Company of Tennessee,Utah,59996,16279.0,36.0,0.0,0.0,0.0,,,,No
1885,Golden Rule Insurance Company,New Mexico,60037,3860.0,0.0,0.0,0.0,0.0,,,,No
1886,Unimerica Insurance Company,Georgia,60055,0.0,0.0,0.0,0.0,0.0,,,,No
1887,Celtic Insurance Company,South Carolina,60067,37.0,,0.0,-15590.2,,$0.00 ,"($15,590.17)",$-,No
1888,"Sierra Health and Life Insurance Company, Inc.",Maine,60102,0.0,0.0,0.0,0.0,0.0,,,,No
1889,"HMO Colorado, Inc., dba HMO Nevada",Nevada,60156,72009.0,6337.0,4285648.84,-4049115.0,-140896.0,"$4,285,648.85 ","($4,049,114.37)","($140,898.78)",No
1890,Reliance Standard Life Insurance Company,Minnesota,60190,,,,,,,,,No
1891,New Era Life Insurance Company,Alaska,60200,,,,,,,,,No
1892,Standard Life and Accident Insurance Company,Wyoming,60250,9.0,,0.0,0.0,,,,,No
1893,American Heritage Life Insurance Company,Alaska,60269,,,,,,,,,No
1894,PacifiCare Life and Health Insurance Co,California,60280,0.0,0.0,0.0,0.0,0.0,,,,No
1895,Illinois Mutual Life Insurance Company,Missouri,60296,,,,,,,,,No
1896,Time Insurance Company,Tennessee,60299,87553.0,0.0,3193779.0,191793.0,0.0,"$3,193,778.58 ","$191,793.01 ",$-,No
1897,Central United Life Insurance Company,Idaho,60303,,,,,,,,,No
1898,"Humana Health Plan, Inc.",New Mexico,60409,,,,,,,,,No
1899,American Income Life Insurance Co,Alaska,60467,,,,,,,,,No
1900,Standard Life and Accident Insurance Company,Kentucky,60525,35.0,,0.0,0.0,,,,,No
1901,"Avera Health Plans, Inc. ",South Dakota,60536,109609.0,52252.0,10895393.0,-1014430.34,-359596.0,"$10,895,393.31 ","($1,014,430.34)","($359,596.30)",No
1902,Connecticut General Life Insurance Company,Alabama,60561,0.0,0.0,0.0,0.0,0.0,,,,No
1903,American Heritage Life Insurance Company,Wisconsin,60562,,,,,,,,,No
1904,Thrivent Financial for Lutherans,New York,60589,,,,,,,,,No
1905,PacificSource Health Plans,Idaho,60597,92174.0,72031.0,2266285.0,663249.2,-278976.0,"$2,266,284.66 ","$663,249.20 ","($228,325.54)",Yes
1906,"Kaiser Foundation Health Plan, Inc.",Hawaii,60612,185604.0,321645.0,4687279.0,-10430372.0,-4366914.0,"$4,687,278.77 ","($10,430,372.26)","($4,366,914.44)",Yes
1907,The United States Life Ins. Co. in the City of New York,Rhode Island,60647,2241.0,,,,,,,,No
1908,Union Security Insurance Company,Iowa,60690,0.0,0.0,0.0,0.0,0.0,,,,No
1909,Cigna Health and Life Insurance Company,South Dakota,60694,0.0,0.0,0.0,0.0,0.0,,,,No
1910,American Heritage Life Insurance Company,Oregon,60752,,,,,,,,,No
1911,American Heritage Life Insurance Company,Maine,60757,,,,,,,,,No
1912,"COMPASS COOPERATIVE HEALTH PLAN, INC.",Arizona,60761,26839.0,355.0,1958735.0,2073821.0,-29409.0,"$1,958,734.84 ","$2,073,821.34 ","($29,408.53)",Yes
1913,Washington National Insurance Company,Massachusetts,60767,,,,,,,,,No
1914,Federated Mutual Insurance Company,Minnesota,60769,469.0,90677.0,0.0,0.0,-2090475.15,N/E,$-,"($2,090,475.15)",No
1915,UnitedHealthcare of New England Inc.,New Hampshire,60785,0.0,0.0,0.0,0.0,0.0,,,,No
1916,American Republic Insurance Company,Texas,60818,,,,,,,,,No
1917,Physicians Health Plan,Michigan,60829,443.0,30328.0,,-76724.0,-681491.0,$0.00 ,"($76,724.32)","($681,491.41)",Yes
1918,UnitedHealthcare Insurance Company of New York,Minnesota,60845,0.0,0.0,0.0,0.0,0.0,,,,No
1919,Kaiser Permanente Insurance Company,Kansas,60861,,,0.0,0.0,0.0,,,,No
1920,Guarantee Trust Life Insurance Co.,Iowa,60917,0.0,,,,,,,,No
1921,UnitedHealthcare Insurance Company,Delaware,61021,486.0,2524.0,0.0,0.0,320100.98,N/E,$-,"$320,100.97 ",No
1922,American National Life Insurance Company of Texas,Colorado,61123,1676.0,,0.0,0.0,,,,,No
1923,Reserve National Insurance Company,Arkansas,61124,,,,,,,,,No
1924,American Republic Insurance Company,Kentucky,61160,,,,,,,,,No
1925,"Minuteman Health, Inc",New Hampshire,61163,,,,,,,,,Yes
1926,National Foundation Life Insurance Company,New Mexico,61170,48.0,,0.0,0.0,,,,,No
1927,Aetna Health of Utah Inc.,Idaho,61175,721.0,16326.0,18151.34,-24771.68,-157276.56,"$18,151.34 ","($24,771.68)","($157,276.56)",No
1928,Central United Life Insurance Company,Kentucky,61191,,,,,,,,,No
1929,"Humana Health Plan of Ohio, Inc.",Kentucky,61253,,,,,,,,,No
1930,Standard Life and Accident Insurance Company,Delaware,61272,12.0,,0.0,0.0,,,,,No
1931,Freedom Life Insurance Company of America,Arkansas,61273,870.0,,0.0,-3621.0,,$0.00 ,"($3,621.42)",$-,No
1932,The United States Life Ins. Co. in the City of New York,Nebraska,61289,2058.0,,,,,,,,No
1933,Guarantee Trust Life Insurance Co.,West Virginia,61292,18.0,,,,,,,,No
1934,Cigna Health and Life Insurance Company,Wyoming,61357,0.0,0.0,0.0,0.0,0.0,,,,No
1935,American National Insurance Company,Colorado,61376,439.0,,0.0,0.0,,,,,No
1936,Kanawha Insurance Company ,Florida,61403,2457.0,,,,,,,,No
1937,Kanawha Insurance Company ,Wyoming,61420,45.0,,,,,,,,No
1938,"Ryder Health Plan, Inc.",Puerto Rico,61423,18963.0,588.0,,,,,,,Yes
1939,Coventry Health & Life Insurance Company,Kansas,61430,604296.0,102777.0,18150600.47,-10156545.5,-84693.05,"$18,150,600.47 ","($10,156,545.50)","($84,693.06)",No
1940,New Era Life Insurance Company,Mississippi,61479,1273.0,,,,,,,,No
1941,Wilton Reassurance Company,Kansas,61559,415.0,,,,,,,,No
1942,Mid-West National Life Insurance Company of Tennessee,District of Columbia,61567,454.0,0.0,0.0,0.0,0.0,,,,No
1943,"Blue Cross of Idaho Health Service, Inc.",Idaho,61589,1042265.0,476090.0,46067383.55,-7228265.36,569390.0,"$46,067,383.55 ","($7,228,265.36)","$557,788.36 ",Yes
1944,Aetna Life Insurance Company,North Carolina,61644,62142.0,11297.0,215718.92,-240838.67,205830.47,"$215,718.92 ","($240,838.67)","$205,830.47 ",No
1945,State Farm Mutual Automobile Insurance Company,Kansas,61652,1476.0,0.0,0.0,0.0,0.0,,,,No
1946,Kanawha Insurance Company ,Wisconsin,61670,209.0,,,,,,,,No
1947,Aetna Health Inc. (a Pennsylvania corporation),North Carolina,61671,115.0,26228.0,0.0,0.0,207989.26,N/E,$-,"$207,989.26 ",No
1948,American Heritage Life Insurance Company,Arizona,61695,,,,,,,,,No
1949,American Republic Insurance Company,New Hampshire,61699,,,,,,,,,No
1950,MVP Health Insurance Company,New York,61719,,123655.0,,,0.0,,,,No
1951,United Healthcare Life Insurance Company,Ohio,61724,8881.0,246629.0,907441.89,1068021.58,-894175.23,"$907,441.89 ","$1,149,383.33 ","($975,536.98)",No
1952,MAMSI Life and Health Insurance Company,Delaware,61733,0.0,0.0,0.0,0.0,0.0,,,,No
1953,Companion Life Insurance Company,Pennsylvania,61775,14417.0,,,,,,,,No
1954,The Guardian Life Insurance Company of America,Kansas,61779,24.0,,,,,,,,No
1955,United Healthcare Life Insurance Company,Mississippi,61794,494.0,58.0,0.0,0.0,1295.5,N/E,$-,"$1,295.50 ",No
1956,Coordinated Care Corporation Indiana,Washington,61836,232541.0,,3216434.39,-24258945.68,,"$3,216,434.39 ","($24,258,945.68)",$-,No
1957,American Heritage Life Insurance Company,Virginia,61899,,,,,,,,,No
1958,Nippon Life Insurance Company of America,Kentucky,61923,,,,,,,,,No
1959,Golden Rule Insurance Company,California,61956,12.0,0.0,0.0,0.0,0.0,,,,No
1960,The United States Life Ins. Co. in the City of New York,Montana,61965,1103.0,,,,,,,,No
1961,Unified Life Insurance Company,Maryland,61971,72.0,,0.0,0.0,,,,,No
1962,Unimerica Insurance Company,Iowa,62006,0.0,0.0,0.0,0.0,0.0,,,,No
1963,AMERICAN FIDELITY ASSURANCE COMPANY,Kentucky,62049,,,,,,,,,No
1964,Trustmark Life Insurance Company,Indiana,62052,,12726.0,,0.0,39824.76,N/E,$-,"$39,262.67 ",No
1965,Union Labor Life Insurance Company,Maine,62133,11.0,,,,,,,,No
1966,Celtic Insurance Company,Arkansas,62141,343956.0,,6888210.15,-8621410.48,,"$6,888,210.15 ","($8,621,410.48)",$-,No
1967,Trustmark Insurance Company,Mississippi,62163,,,,,,,,,No
1968,Trustmark Insurance Company,Pennsylvania,62191,,,,,,,,,No
1969,Independence American Insurance Company,Illinois,62192,57.0,,,,,,,,No
1970,"South Dakota State Medical Holding Company, Inc.",South Dakota,62210,56085.0,142243.0,251216.0,112428.0,-2099623.0,"$251,215.94 ","$112,428.12 ","($2,099,623.45)",No
1971,Philadelphia American Life Insurance Company,New York,62255,12.0,,,,,,,,No
1972,Humana Insurance Company,Michigan,62294,101756.0,81670.0,698246.11,884115.01,-107913.09,"$698,246.11 ","$884,115.01 ","($107,913.09)",No
1973,Celtic Insurance Company,Ohio,62352,43.0,,0.0,-6348.32,,$0.00 ,"($6,348.32)",$-,No
1974,Union Fidelity Life Insurance Company,Colorado,62376,,,,,,,,,No
1975,Celtic Insurance Company,West Virginia,62386,0.0,,0.0,0.0,,,,,No
1976,Standard Security Life Insurance Company of New York,West Virginia,62463,0.0,129.0,,,,,,,No
1977,American National Life Insurance Company of Texas,Virginia,62467,139.0,,0.0,0.0,,,,,No
1978,Unimerica Insurance Company,Ohio,62504,0.0,0.0,0.0,0.0,0.0,,,,No
1979,Celtic Insurance Company,Oklahoma,62505,240.0,,0.0,-7794.93,,$0.00 ,"($7,794.93)",$-,No
1980,Mid-West National Life Insurance Company of Tennessee,North Carolina,62512,26695.0,16.0,0.0,0.0,0.0,,,,No
1981,TransAmerica Premier Life Insurance,Ohio,62528,,,,,,,,,No
1982,American Income Life Insurance Co,Pennsylvania,62538,,,,,,,,,No
1983,"UPMC Health Coverage, Inc. ",Pennsylvania,62560,16156.0,8176.0,2326234.21,2366387.54,480494.03,"$2,326,234.21 ","$2,366,387.54 ","$480,494.03 ",Yes
1984,United American Insurance Co,Idaho,62571,,,,,,,,,No
1985,Union Security Insurance Company,Kentucky,62573,0.0,0.0,0.0,0.0,0.0,,,,No
1986,The United States Life Ins. Co. in the City of New York,Ohio,62597,9763.0,,,,,,,,No
1987,PacifiCare Life and Health Insurance Co,Delaware,62613,0.0,0.0,0.0,0.0,0.0,,,,No
1988,Mid-West National Life Insurance Company of Tennessee,Nebraska,62627,4469.0,0.0,0.0,0.0,0.0,,,,No
1989,John Alden Life Insurance Company,Alaska,62637,1557.0,24712.0,0.0,0.0,78963.0,N/E,$-,"$78,962.62 ",No
1990,Time Insurance Company,Florida,62662,298430.0,1202.0,24416837.0,10529973.0,-119622.0,"$24,416,837.37 ","$11,930,582.36 ","($119,621.80)",No
1991,Golden Rule Insurance Company,Arkansas,62722,105536.0,0.0,0.0,0.0,0.0,,,,No
1992,Guarantee Trust Life Insurance Co.,California,62786,0.0,,,,,,,,No
1993,The Guardian Life Insurance Company of America,Montana,62818,36.0,,,,,,,,No
1994,Heart of America Health Plan,North Dakota,62838,2419.0,2062.0,,,,,,,Yes
1995,Celtic Insurance Company,Oregon,62924,0.0,,0.0,0.0,,,,,No
1996,Shelter Life Insurance Company,Utah,62985,0.0,0.0,0.0,0.0,0.0,,,,No
1997,COMMERCIAL TRAVELERS MUTUAL INSURANCE COMPANY,New York,63004,,,,,,,,,No
1998,The Prudential Insurance Company of America,Indiana,63012,,,,,,,,,No
1999,American Alternative Insurance Corporation,Tennessee,63021,,932.0,,,,,,,No
2000,John Alden Life Insurance Company,Massachusetts,63046,0.0,0.0,0.0,0.0,0.0,,,,No
2001,"Humana Medical Plan, Inc. ",Mississippi,63050,,,,,,,,,No
2002,Kanawha Insurance Company ,Louisiana,63070,759.0,,,,,,,,No
2003,The Prudential Insurance Company of America,Michigan,63105,,,,,,,,,No
2004,Union Labor Life Insurance Company,New Jersey,63124,44.0,,,,,,,,No
2005,Humana Insurance Company,Texas,63141,1152876.0,409270.0,21797558.59,5252230.85,-1055927.97,"$21,797,558.59 ","$5,252,230.85 ","($1,055,927.97)",No
2006,United Healthcare Life Insurance Company,Nevada,63145,0.0,0.0,0.0,0.0,0.0,,,,No
2007,Transamerica Life Insurance Company,Pennsylvania,63222,,,,,,,,,No
2008,Central United Life Insurance Company,Kansas,63260,,,,,,,,,No
2009,New York Life Insurance Company,Tennessee,63272,0.0,,,,,,,,No
2010,Illinois Mutual Life Insurance Company,Illinois,63283,,,,,,,,,No
2011,Mid-West National Life Insurance Company of Tennessee,New Mexico,63287,7106.0,0.0,0.0,0.0,0.0,,,,No
2012,Colorado Choice Health Plans,Colorado,63312,63856.0,32144.0,6252606.0,-4578461.0,-534596.0,"$6,252,605.70 ","($4,578,461.04)","($534,596.16)",Yes
2013,Cigna Health and Life Insurance Company,Guam,63326,0.0,0.0,0.0,0.0,0.0,,,,No
2014,AMERICAN FIDELITY ASSURANCE COMPANY,Nebraska,63333,24.0,,,,,,,,No
2015,Independence American Insurance Company,Montana,63342,506.0,6316.0,,,-14697.28,N/E,$-,"($14,700.32)",No
2016,Thrivent Financial for Lutherans,Delaware,63383,,,,,,,,,No
2017,Union Fidelity Life Insurance Company,Texas,63384,,,,,,,,,No
2018,All Savers Insurance Company,Nebraska,63394,0.0,0.0,0.0,0.0,0.0,,,,No
2019,"Blue Cross and Blue Shield of Georgia, Inc.",Georgia,63411,416561.0,149454.0,0.0,0.0,1729140.0,N/E,$-,"$1,729,140.20 ",No
2020,Connecticut General Life Insurance Company,Arizona,63430,19864.0,80.0,0.0,0.0,0.0,,,,No
2021,Cigna Health and Life Insurance Company,Vermont,63472,1.0,2382.0,0.0,0.0,0.0,,,,No
2022,BridgeSpan Health Company,Oregon,63474,196.0,,0.0,16569.0,,$0.00 ,"$16,568.71 ",$-,No
2023,United Healthcare Life Insurance Company,New Hampshire,63497,0.0,0.0,0.0,0.0,0.0,,,,No
2024,Allegian Insurance Company,Texas,63509,1512.0,18120.0,,,-10481.0,N/E,$-,"($10,501.89)",No
2025,PacifiCare Life and Health Insurance Co,North Dakota,63541,0.0,0.0,0.0,0.0,0.0,,,,No
2026,Reliance Standard Life Insurance Company,Kentucky,63552,,,,,,,,,No
2027,National Foundation Life Insurance Company,Oregon,63594,305.0,,0.0,0.0,,,,,No
2028,Liberty National Life Insurance Co,Indiana,63627,,,,,,,,,No
2029,UnitedHealthcare Insurance Company,Michigan,63631,1983.0,353331.0,0.0,-10895.22,-1076530.13,N/E,$-,"($1,087,425.35)",No
2030,Union Labor Life Insurance Company,Florida,63640,65.0,,,,,,,,No
2031,Trustmark Insurance Company,Wyoming,63645,,,,,,,,,No
2032,Standard Life and Accident Insurance Company,Oklahoma,63660,832.0,,0.0,0.0,,,,,No
2033,PacifiCare Life and Health Insurance Co,Montana,63770,0.0,0.0,0.0,0.0,0.0,,,,No
2034,PacifiCare Life and Health Insurance Co,Florida,63773,0.0,0.0,0.0,0.0,0.0,,,,No
2035,American National Life Insurance Company of Texas,New Jersey,63821,0.0,,0.0,0.0,,,,,No
2036,TransAmerica Premier Life Insurance,District of Columbia,63853,,,,,,,,,No
2037,The Guardian Life Insurance Company of America,Georgia,63940,72.0,,,,,,,,No
2038,Philadelphia American Life Insurance Company,Mississippi,63975,12.0,,,,,,,,No
2039,Celtic Insurance Company,Delaware,64004,157.0,,0.0,0.0,,,,,No
2040,Cigna Health and Life Insurance Company,Massachusetts,64040,0.0,561.0,0.0,0.0,0.0,,,,No
2041,United American Insurance Co,Hawaii,64068,,,,,,,,,No
2042,UnitedHealthcare Insurance Company of New York,Wisconsin,64138,0.0,0.0,0.0,0.0,0.0,,,,No
2043,UnitedHealthcare Insurance Company of the River Valley,South Carolina,64146,2187.0,101664.0,0.0,0.0,448146.55,N/E,$-,"$448,146.55 ",No
2044,Reliance Standard Life Insurance Company,Ohio,64156,,,,,,,,,No
2045,Humana Insurance Company,Montana,64159,,,,,,,,,No
2046,Time Insurance Company,California,64198,351232.0,0.0,45901082.0,19395980.0,0.0,"$45,901,082.37 ","$19,393,416.27 ",$-,No
2047,John Alden Life Insurance Company,Montana,64206,7356.0,14972.0,0.0,0.0,-292311.0,N/E,$-,"($292,758.82)",No
2048,"Sutter Health Plan, Inc.",California,64210,229.0,7731.0,0.0,-28083.0,-609684.0,,,,No
2049,Symetra Life Insurance Company,Illinois,64235,,,,,,,,,No
2050,Federated Mutual Insurance Company,South Dakota,64255,0.0,9524.0,0.0,0.0,-87499.03,N/E,$-,"($87,499.03)",No
2051,Philadelphia American Life Insurance Company,Nevada,64274,84.0,,,,,,,,No
2052,All Savers Insurance Company,Georgia,64281,0.0,0.0,0.0,0.0,0.0,,,,No
2053,American National Insurance Company,Mississippi,64289,144.0,,0.0,0.0,,,,,No
2054,MOLINA HEALTHCARE OF OHIO,Ohio,64353,1610.0,,20239.0,180649.0,,"$20,238.70 ","$180,648.95 ",$-,No
2055,Kanawha Insurance Company ,Connecticut,64364,369.0,,,,,,,,No
2056,AMERICAN FIDELITY ASSURANCE COMPANY,North Carolina,64414,60.0,,,,,,,,No
2057,American States Insurance Company,Arizona,64444,,,,,,,,,No
2058,Illinois Mutual Life Insurance Company,South Carolina,64446,,,,,,,,,No
2059,Connecticut General Life Insurance Company,Guam,64481,0.0,0.0,0.0,0.0,0.0,,,,No
2060,"Coventry Health Care of Texas, Inc.",Texas,64521,0.0,3530.0,0.0,0.0,0.0,,,,No
2061,Cigna Health and Life Insurance Company,Montana,64536,0.0,0.0,0.0,0.0,0.0,,,,No
2062,TransAmerica Premier Life Insurance,Connecticut,64563,,,,,,,,,No
2063,Globe Life and Accident Insurance Co,Rhode Island,64582,,,,,,,,,No
2064,Cigna Health and Life Insurance Company,Alaska,64620,0.0,0.0,0.0,0.0,0.0,,,,No
2065,American National Life Insurance Company of Texas,Idaho,64625,138.0,,0.0,0.0,,,,,No
2066,Celtic Insurance Company,Virginia,64629,28.0,,0.0,0.0,,,,,No
2067,Kanawha Insurance Company ,Oregon,64671,75.0,,,,,,,,No
2068,Connecticut General Life Insurance Company,Michigan,64677,54.0,0.0,0.0,0.0,0.0,,,,No
2069,MAMSI Life and Health Insurance Company,Missouri,64679,0.0,0.0,0.0,0.0,0.0,,,,No
2070,Federated Mutual Insurance Company,Missouri,64701,0.0,88427.0,0.0,0.0,-752603.4,N/E,$-,"($752,603.40)",No
2071,Standard Life and Accident Insurance Company,Colorado,64713,2366.0,,0.0,0.0,,,,,No
2072,Wilton Reassurance Company,Rhode Island,64769,78.0,,,,,,,,No
2073,Medical Associates Health Plan of WI,Wisconsin,64772,,22923.0,,,-494521.63,N/E,$-,"($494,521.63)",Yes
2074,Trustmark Life Insurance Company,Virginia,64800,,311.0,,0.0,0.0,,,,No
2075,Trustmark Life Insurance Company,Florida,64807,,0.0,,0.0,0.0,,,,No
2076,Philadelphia American Life Insurance Company,Wisconsin,64808,,,,,,,,,No
2077,Aetna Health Inc. (a Pennsylvania corporation),Pennsylvania,64844,187327.0,987408.0,1280386.05,-1144736.65,-3059493.02,"$1,280,386.05 ","($1,144,736.65)","($3,059,493.02)",No
2078,Aetna Life Insurance Company,Montana,64929,6.0,0.0,0.0,0.0,0.0,,,,No
2079,Unimerica Insurance Company,Wisconsin,64982,0.0,0.0,0.0,0.0,0.0,,,,No
2080,UNICARE Life & Health Insurance Company,Massachusetts,65006,0.0,0.0,0.0,0.0,0.0,,,,No
2081,Guarantee Trust Life Insurance Co.,Kentucky,65112,0.0,,,,,,,,No
2082,Consumers' Choice Health Insurance Company,South Carolina,65122,463294.0,2277.0,33097630.0,-6160779.0,-96974.0,"$33,097,630.23 ","($6,160,779.32)","($96,974.11)",Yes
2083,Kanawha Insurance Company ,South Carolina,65156,791.0,,,,,,,,No
2084,American Heritage Life Insurance Company,Kansas,65180,,,,,,,,,No
2085,Liberty National Life Insurance Co,Texas,65200,,,,,,,,,No
2086,"Sierra Health and Life Insurance Company, Inc.",Arizona,65304,0.0,0.0,0.0,0.0,0.0,,,,No
2087,"Humana Benefit Plan of Illinois, Inc.",North Dakota,65327,,,,,,,,,No
2088,Unimerica Insurance Company,Missouri,65381,0.0,0.0,0.0,0.0,0.0,,,,No
2089,Medical Benefits Mutual Life Insurance Co.,Kentucky,65390,,,,,,,,,No
2090,PacifiCare Life and Health Insurance Co,West Virginia,65396,0.0,0.0,0.0,0.0,0.0,,,,No
2091,Illinois Mutual Life Insurance Company,Minnesota,65408,,,,,,,,,No
2092,LifeWise Assurance Company,Washington,65464,,,,,,,,,No
2093,State Farm Mutual Automobile Insurance Company,Kentucky,65550,24.0,0.0,0.0,0.0,0.0,,,,No
2094,"Coventry Health Care of Kansas, Inc.",Kansas,65598,124536.0,142891.0,6787834.35,-5910292.02,-713955.93,"$6,787,834.35 ","($5,910,292.03)","($713,955.94)",No
2095,New York Life Insurance Company,Nebraska,65602,0.0,,,,,,,,No
2096,MAMSI Life and Health Insurance Company,Maryland,65635,1970.0,138627.0,0.0,304864.64,649418.77,N/E,$-,"$860,842.04 ",No
2097,New York Life Insurance Company,New Mexico,65647,12.0,,,,,,,,No
2098,United Healthcare Life Insurance Company,New Jersey,65659,0.0,0.0,0.0,0.0,0.0,,,,No
2099,"Inter-County Health Plan, Inc",Pennsylvania,65698,913.0,25957.0,0.0,0.0,-278204.0,,,,Yes
2100,Deseret Mutual Insurance Company,Utah,65771,,,,,,,,,Yes
2101,Aetna Health of Utah Inc.,Nevada,65779,12700.0,1725.0,0.0,-1158344.58,-16246.09,$0.00 ,"($1,158,344.59)","($16,246.63)",No
2102,"UnitedHealthcare of Arkansas, Inc.",Arkansas,65817,0.0,4501.0,0.0,0.0,-112065.94,N/E,$-,"($112,065.94)",No
2103,Medica Health Plans of Wisconsin,Minnesota,65847,32699.0,,2670519.49,130710.53,,"$2,670,519.49 ","$130,710.53 ",$-,Yes
2104,"Sierra Health and Life Insurance Company, Inc.",Georgia,65854,0.0,0.0,0.0,0.0,0.0,,,,No
2105,John Alden Life Insurance Company,District of Columbia,65880,149.0,42.0,0.0,0.0,0.0,,,,No
2106,Coventry Health & Life Insurance Company,Georgia,65890,0.0,18018.0,0.0,0.0,-4418.49,N/E,$-,"($4,418.49)",No
2107,"Moda Health Plan, Inc.",Washington,65907,93203.0,,8479437.0,3727522.0,,"$8,479,437.45 ","$3,727,521.87 ",$-,No
2108,"Humana Medical Plan, Inc. ",Oregon,65909,,,,,,,,,No
2109,Reserve National Insurance Company,Tennessee,65985,,,,,,,,,No
2110,"Humana Health Plan of Ohio, Inc.",Ohio,66083,127142.0,337804.0,8894210.03,-6379256.85,683165.75,"$8,894,210.03 ","($6,379,256.85)","$683,165.75 ",No
2111,Humana Insurance Company,Arizona,66105,180110.0,70211.0,1328793.1,1164384.91,27209.69,"$1,328,793.10 ","$1,164,384.91 ","$27,209.69 ",No
2112,Federated Mutual Insurance Company,Illinois,66143,12.0,44263.0,0.0,0.0,-390516.48,N/E,$-,"($390,516.48)",No
2113,Pan-American Life Insurance Company of Puerto Rico,Puerto Rico,66148,,35259.0,,,,,,,No
2114,Union Security Insurance Company,South Carolina,66152,0.0,153.0,0.0,0.0,0.0,,,,No
2115,Globe Life and Accident Insurance Co,Wisconsin,66161,,,,,,,,,No
2116,UnitedHealthcare Insurance Company of New York,Connecticut,66172,0.0,0.0,0.0,0.0,0.0,,,,No
2117,United Healthcare Life Insurance Company,Illinois,66303,7387.0,0.0,0.0,0.0,0.0,,,,No
2118,American National Insurance Company,New Jersey,66331,121.0,,0.0,0.0,,,,,No
2119,American Income Life Insurance Co,Alabama,66332,,,,,,,,,No
2120,Thrivent Financial for Lutherans,Colorado,66351,,,,,,,,,No
2121,American Heritage Life Insurance Company,District of Columbia,66359,,,,,,,,,No
2122,TransAmerica Premier Life Insurance,Nebraska,66405,,,,,,,,,No
2123,"UnitedHealthcare of Utah, Inc.",Utah,66413,30.0,3115.0,0.0,0.0,240082.86,N/E,$-,"$239,944.32 ",No
2124,American National Insurance Company,Illinois,66426,99.0,,0.0,0.0,,,,,No
2125,Liberty Mutual Insurance Company,New Jersey,66433,,,,,,,,,No
2126,The Guardian Life Insurance Company of America,New Mexico,66440,47.0,,,,,,,,No
2127,Aetna Health Inc. (a Pennsylvania corporation),Maryland,66516,615.0,83092.0,0.0,0.0,35339.49,N/E,$-,"$11,143.81 ",No
2128,Trustmark Insurance Company,Arkansas,66520,,,,,,,,,No
2129,United Teachers Associates,Georgia,66528,72.0,,,,,,,,No
2130,All Savers Insurance Company,Iowa,66530,0.0,0.0,0.0,0.0,0.0,,,,No
2131,United Healthcare Life Insurance Company,Louisiana,66593,608.0,0.0,0.0,0.0,0.0,,,,No
2132,Connecticut General Life Insurance Company,West Virginia,66614,0.0,0.0,0.0,0.0,0.0,,,,No
2133,United Healthcare Life Insurance Company,Virginia,66663,8062.0,0.0,726662.22,428044.46,0.0,"$726,662.22 ","$428,044.47 ",$-,No
2134,American Alternative Insurance Corporation,Oklahoma,66670,,2792.0,,,,,,,No
2135,"Denver Health Medical Plan, Inc.",Colorado,66699,5526.0,,426658.0,2412385.0,,"$426,657.77 ","$2,412,384.60 ",$-,Yes
2136,American National Life Insurance Company of Texas,Texas,66719,10231.0,,0.0,0.0,,,,,No
2137,Philadelphia American Life Insurance Company,Indiana,66746,24.0,,,,,,,,No
2138,Standard Life and Accident Insurance Company,Arkansas,66764,166.0,,0.0,0.0,,,,,No
2139,"Blue Care of Michigan, Inc.",Michigan,66835,3404.0,0.0,0.0,0.0,0.0,,,,Yes
2140,Coventry Health & Life Insurance Company,South Dakota,66837,21300.0,6959.0,258935.6,-331736.57,29000.9,"$258,935.60 ","($331,736.57)","$29,000.90 ",No
2141,Community Health Alliance Mutual Insurance Company,Tennessee,66842,1938.0,3724.0,233551.0,259947.0,-377246.0,"$233,550.84 ","$259,947.44 ","($377,246.42)",Yes
2142,Shelter Life Insurance Company,Nebraska,66885,36.0,0.0,0.0,0.0,0.0,,,,No
2143,Union Security Insurance Company,Mississippi,66895,0.0,307.0,0.0,0.0,0.0,,,,No
2144,Reliance Standard Life Insurance Company,Arizona,66915,,,,,,,,,No
2145,The United States Life Ins. Co. in the City of New York,New Mexico,66916,2947.0,,,,,,,,No
