,Unnamed: 0_x,CompanyName:_x,BusinessintheStateof:_x,HIOSIssuerID:,MEMBER_MONTHS_INDIVIDUAL:_x,MEMBER_MONTHS_SMALL_GROUP_x,EXPECTED_REINSURANCE_x,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL_x,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP_x,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_x,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_x",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_x,Not-For-Profit:_x,Premium_x,Loss1_x,Loss2_x,Loss3_x,Loss4_x,TotalProfitPMM,CompanyName:_y,BusinessintheStateof:_y,MEMBER_MONTHS_INDIVIDUAL:_y,MEMBER_MONTHS_SMALL_GROUP_y,EXPECTED_REINSURANCE_y,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL_y,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP_y,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_y,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_y",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_y,Not-For-Profit:_y,Premium_y,Loss1_y,Loss2_y,Loss3_y,Loss4_y,DifferenceInIRAPMM
564,657,American Progressive Life & Health Insurance Company of New York,Massachusetts,27059,12,,,,,,,,No,42.26,26.95908722,,,,1.275076065,American Progressive Life & Health Insurance Company of New York,Massachusetts,12,,,,,,,,No,44.05,6.586788668,,,,0
565,658,Union Security Insurance Company,Missouri,27074,12,0,0,0,0,,,,No,971,75,0,5,0,74.25,Union Security Insurance Company,Missouri,12,0,0,0,0,,,,No,971,6090,0,60,0,0
571,664,Standard Life and Accident Insurance Company,Texas,27334,970,,0,0,,,,,No,205237.22,248405.78,,,0,-44.5036701,Standard Life and Accident Insurance Company,Texas,643,,,,,,,,No,145191.52,287522.6,,,,0
583,677,Connecticut General Life Insurance Company,Massachusetts,27640,663,0,0,0,0,,,,No,346034,237484,157716,15671,3,-97.79788839,Connecticut General Life Insurance Company,Massachusetts,580,0,0,0,0,,,,No,335882,218080,127673,30811,0,0
585,679,Standard Life and Accident Insurance Company,New Mexico,27739,225,,0,0,,,,,No,10741.91,2761.86,,,0,35.46688889,Standard Life and Accident Insurance Company,New Mexico,206,,,,,,,,No,8117.51,649.11,,,,0
587,681,United Teachers Associates,Louisiana,27777,108,,,,,,,,No,1322,-2269,,,,33.25,United Teachers Associates,Louisiana,96,,,,,,,,No,1318,62.0249,,,,0
591,685,National Foundation Life Insurance Company,Virginia,27865,52,,0,0,,,,,No,18265,548,0,0,0,340.7115385,National Foundation Life Insurance Company,Virginia,48,,0,0,,,,,No,16524,705,0,0,0,0
598,693,Mid-West National Life Insurance Company of Tennessee,Wisconsin,28101,10344,0,0,0,0,,,,No,3749478,1925919.08,57835.50829,19993.50389,0,168.7673925,Mid-West National Life Insurance Company of Tennessee,Wisconsin,1472,0,0,0,0,,,,No,579977,277318.7958,5090.434975,3851.681171,0,0
600,695,Freedom Life Insurance Company of America,Delaware,28128,645,,0,0,,,,,No,155103,92432,0,0,0,97.16434109,Freedom Life Insurance Company of America,Delaware,289,,0,0,,,,,No,48193,204377,0,0,0,0
608,704,Mid-West National Life Insurance Company of Tennessee,West Virginia,28309,5523,0,0,0,0,,,,No,1400210,693719.72,46570.20103,15586.16439,24.94,116.6592386,Mid-West National Life Insurance Company of Tennessee,West Virginia,822,0,0,0,0,,,,No,215513,55414.01719,5090.422094,3851.671425,0,0
613,710,Companion Life Insurance Company,Arkansas,28448,12745,498,,,,,,,No,425438,267941,126719,,,2.414907807,Companion Life Insurance Company,Arkansas,75,796,,,,,,,No,5221,1959,182,,,0
616,713,State Farm Mutual Automobile Insurance Company,Maryland,28573,529,0,0,0,0,,,,No,204436.73,284710.51,0,0,0,-151.746276,State Farm Mutual Automobile Insurance Company,Maryland,415,0,0,0,0,,,,No,172614.13,130604.56,0,0,0,0
620,717,State Farm Mutual Automobile Insurance Company,New York,28623,14,0,0,0,0,,,,No,1552.99,2803,0,0,0,-89.28642857,State Farm Mutual Automobile Insurance Company,New York,12,0,0,0,0,,,,No,1449.2,11182,0,0,0,0
623,720,UnitedHealthcare Insurance Company,Kentucky,28773,31,10126,0,0,0,,,,No,33402.68,43559.55,8014.89,2570.63,1.44,-669.1558065,UnitedHealthcare Insurance Company,Kentucky,319,2670,0,0,-121359.44,,,"($121,359.44)",No,87921.25,27455.87,628.63,0,1.44,0
632,734,Unified Life Insurance Company,Ohio,29007,24,,0,0,,,,,No,0,0,0,0,0,0,Unified Life Insurance Company,Ohio,24,,0,0,,,,,No,0,0,0,0,0,0
633,735,Nationwide Life Insurance Company,Illinois,29014,12,,,,,,,,No,185,0,,,,15.41666667,Nationwide Life Insurance Company,Illinois,12,,,,,,,,No,185,0,,,,0
634,736,Companion Life Insurance Company,Rhode Island,29081,983,,,,,,,,No,20664,13286,6284,,,1.112919634,Companion Life Insurance Company,Rhode Island,63,,,,,,,,No,1456,575,53,,,0
647,750,"Oxford Health Insurance, Inc.",Connecticut,29462,10175,281054,0,0,4715438.41,,,"$4,715,438.40 ",No,6277323.63,5081898.85,1097155.18,126473.63,0,-2.77189484,"Oxford Health Insurance, Inc.",Connecticut,7471,226055,0,0,5162193.87,,,"$5,162,193.87 ",No,4981886.02,4654320.68,1149125.14,166858.67,0,0
650,753,Shelter Life Insurance Company,Oklahoma,29514,72,0,0,0,0,,,,No,3553.17,12582.59,0,0,0,-125.4086111,Shelter Life Insurance Company,Oklahoma,48,0,0,0,0,,,,No,471.52,2394.49,0,0,0,0
658,764,Wilton Reassurance Company,Minnesota,29772,90,,,,,,,,No,88,0,,,,0.977777778,Wilton Reassurance Company,Minnesota,36,,,,,,,,No,36,0,,,,0
661,767,Companion Life Insurance Company,Texas,29817,1930,5481,,,,,,,No,335145,277496,117400,,,-30.95906736,Companion Life Insurance Company,Texas,495,279,,,,,,,No,5174,12907,16359,,,0
662,768,Enterprise Life Insurance Company,Mississippi,29831,2249,,0,0,,,,,No,593576.1,562927,0,0,0,13.62787906,Enterprise Life Insurance Company,Mississippi,905,,0,0,,,,,No,275218,183805,0,0,0,0
664,770,American National Life Insurance Company of Texas,Wisconsin,29891,800,,0,0,,,,,No,324423.68,275568.02,,,0,61.069575,American National Life Insurance Company of Texas,Wisconsin,560,,,,,,,,No,244969.52,59282.45,,,,0
665,771,Kanawha Insurance Company ,Arkansas,29905,456,,,,,,,,No,17913,91500,,,,-161.375,Kanawha Insurance Company ,Arkansas,377,,,,,,,,No,16204,22581,0,0,0,0
666,772,Companion Life Insurance Company,New Mexico,29929,781,,,,,,,,No,15373,5911,17390,,,-10.15108835,Companion Life Insurance Company,New Mexico,63,,,,,,,,No,2037,891,72,,,0
670,776,UnitedHealthcare of New England Inc.,Massachusetts,30210,12,0,0,0,0,,,,No,9491.52,4056.1,2112.14,1084.36,32.09,183.9025,UnitedHealthcare of New England Inc.,Massachusetts,12,0,0,0,0,,,,No,9491.52,4857.23,2328.96,1342.85,45.55,0
676,782,Wilton Reassurance Company,Oklahoma,30488,276,,,,,,,,No,294,7207,,,,-25.04710145,Wilton Reassurance Company,Oklahoma,119,,,,,,,,No,130,0,,,,0
677,783,Connecticut General Life Insurance Company,Minnesota,30493,194,0,0,0,0,,,,No,89056,137513,0,0,0,-249.7783505,Connecticut General Life Insurance Company,Minnesota,48,0,0,0,0,,,,No,30817,29976,0,2164,0,0
679,786,UnitedHealthcare Insurance Company of the River Valley,Georgia,30552,880,177314,0,0,-510878.36,,,"($510,878.36)",No,338908.4,299427.22,39526.35,8921.14,0,-10.18898864,UnitedHealthcare Insurance Company of the River Valley,Georgia,873,190825,0,0,-1813597.15,,,"($1,784,203.76)",No,348635.46,588424.27,26799.31,13051.44,0,0
687,795,American National Life Insurance Company of Texas,Florida,30637,938,,0,0,,,,,No,497084.32,615395.66,,,0,-126.1314925,American National Life Insurance Company of Texas,Florida,623,,,,,,,,No,328620.15,387628.24,,,,0
688,796,Enterprise Life Insurance Company,Nebraska,30669,954,,0,0,,,,,No,251537.92,264546,0,0,0,-13.63530398,Enterprise Life Insurance Company,Nebraska,598,,0,0,,,,,No,172129,134967,0,0,0,0
689,797,United Teachers Associates,Oklahoma,30704,12,,,,,,,,No,1494,0,,,,124.5,United Teachers Associates,Oklahoma,12,,,,,,,,No,1490,27.63,,,,0
692,802,Mid-West National Life Insurance Company of Tennessee,Colorado,30922,26763,0,0,0,0,,,,No,6118750,4004362.692,132945.7832,43419.94009,128.13,72.4094255,Mid-West National Life Insurance Company of Tennessee,Colorado,7720,0,0,0,0,,,,No,1927439,793099.4397,29386.05709,22256.63345,61.06,0
702,816,Kanawha Insurance Company ,Colorado,31237,407,,,,,,,,No,27597,61952,,,,-84.41031941,Kanawha Insurance Company ,Colorado,374,,,,,,,,No,26697,14031,0,0,0,0
711,827,State Farm Mutual Automobile Insurance Company,Nevada,31607,149,0,0,0,0,,,,No,87337.22,82316.29,0,0,0,33.69751678,State Farm Mutual Automobile Insurance Company,Nevada,113,0,0,0,0,,,,No,59668.03,12927,0,0,0,0
721,838,State Farm Mutual Automobile Insurance Company,Alaska,32152,991,0,0,0,0,,,,No,488931.17,405069.41,0,0,0,84.62337033,State Farm Mutual Automobile Insurance Company,Alaska,690,0,0,0,0,,,,No,345229.19,354121.3,0,0,0,0
722,840,The United States Life Ins. Co. in the City of New York,Illinois,32169,34147,,,,,,,,No,1733257,1462176,0,0,0,7.938647612,The United States Life Ins. Co. in the City of New York,Illinois,31669,,,,,,,,No,1434464,1023984,0,0,0,0
724,842,Assurity Life Insurance Company,Florida,32229,12,,,,,,,,No,204.66,528.37,,,,-26.97583333,Assurity Life Insurance Company,Florida,12,,,,,,,,No,204.47,538.83,,,,0
727,845,New Era Life Insurance Company,New Mexico,32267,36,,,,,,,,No,600,99,,,,13.91666667,New Era Life Insurance Company,New Mexico,11,,,,,,,,No,600,43,,,,0
729,847,Kanawha Insurance Company ,Vermont,32352,29,,,,,,,,No,841,12561,,,,-404.137931,Kanawha Insurance Company ,Vermont,12,,,,,,,,No,488,15,0,0,0,0
731,849,Aetna Life Insurance Company,Indiana,32378,962,15430,0,0,-645015.29,,,"($649,454.74)",No,364726.83,257350.01,25012.35,-1355.58,0,87.027079,Aetna Life Insurance Company,Indiana,561,12914,0,0,-306401.14,,,"($313,624.00)",No,230269.41,60378.7,11475.02,1819.43,0,0
732,850,American Family Mutual Insurance Company,Colorado,32531,738,,,,,,,,No,304508,182733,350,,,164.5325203,American Family Mutual Insurance Company,Colorado,24,,,,,,,,No,5870,181,0,,,0
735,853,The Guardian Life Insurance Company of America,Pennsylvania,32561,164,,,,,,,,No,19224,52378.9432,,,,-202.1642878,The Guardian Life Insurance Company of America,Pennsylvania,144,,,,,,,,No,18784,159717.1296,,,,0
736,854,Golden Rule Insurance Company,Iowa,32608,99228,0,0,0,0,,,,No,17829605.99,12666456.41,1423942.24,148362.48,102.74,36.18678317,Golden Rule Insurance Company,Iowa,74744,0,0,0,0,,,,No,14668563.41,11902204.94,1170773.82,172388.45,0,0
737,855,Wilton Reassurance Company,North Dakota,32626,980,,,,,,,,No,1305,198,,,,1.129591837,Wilton Reassurance Company,North Dakota,391,,,,,,,,No,520,0,,,,0
740,858,Life of America,New Mexico,32681,24,,,,,,,,No,5139,0,,,,214.125,Life of America,New Mexico,24,,,,,,,,No,5133,0,,,,0
748,866,Triple-S Salud Inc.,Puerto Rico,32901,1007883,555471,,,,,,,No,137765725,121187969,11828231,,,4.71237733,Triple-S Salud Inc.,Puerto Rico,845817,487386,,,,,,,No,124579485,105993375,12708109,,,0
751,870,Kanawha Insurance Company ,Idaho,32967,12,,,,,,,,No,956,11078,,,,-843.5,Kanawha Insurance Company ,Idaho,12,,,,,,,,No,1116,267,0,0,0,0
758,877,UnitedHealthcare Insurance Company of the River Valley,Ohio,33232,572,293762,0,0,-1094386.45,,,"($1,094,386.45)",No,234186.12,135284.85,15641.39,4250.51,0,138.1282692,UnitedHealthcare Insurance Company of the River Valley,Ohio,608,252356,0,0,-1790106.79,,,"($1,790,106.79)",No,230550.67,44873.47,12322.36,6539.33,0,0
765,887,American National Insurance Company,Puerto Rico,33651,24,,0,0,,,,,No,6724.254092,-195,,,0,288.3022538,American National Insurance Company,Puerto Rico,24,,,,,,,,No,4498.65,-241,,,,0
771,895,New Era Life Insurance Company,Georgia,33726,1412,,,,,,,,No,430812,369632,,,,43.3286119,New Era Life Insurance Company,Georgia,959,,,,,,,,No,354700,954504,,,,0
772,896,John Alden Life Insurance Company,Kentucky,33734,1094,925,0,0,-22526,,,"($22,525.81)",No,249419,957758,5657,1486,-24,-653.9835466,John Alden Life Insurance Company,Kentucky,916,474,0,0,39912,,,"$39,912.04 ",No,189129,94276,3066,3541,0,0
775,900,Golden Rule Insurance Company,Illinois,33798,397828,4,0,0,0,,,,No,81632826.31,57001838.9,6431090.3,70701.82,0,45.57043569,Golden Rule Insurance Company,Illinois,257860,0,0,0,0,,,,No,62112209.21,40386249.02,5303583.44,77340.87,0,0
781,906,Standard Life and Accident Insurance Company,Georgia,33945,575,,0,0,,,,,No,81233.59,87949.28,,,0,-11.67946087,Standard Life and Accident Insurance Company,Georgia,449,,,,,,,,No,59217.24,4093.72,,,,0
786,914,The Guardian Life Insurance Company of America,Utah,34028,12,,,,,,,,No,44,0,,,,3.666666667,The Guardian Life Insurance Company of America,Utah,12,,,,,,,,No,44,0,,,,0
787,915,American General Life Insurance Company,South Carolina,34044,1314,,,,,,,,No,5093,19191,,,,-10.72907154,American General Life Insurance Company,South Carolina,888,,,,,,,,No,3969,4522.6,,,,0
788,916,Regal Life of America Insurance Company,Texas,34071,68,,,,,,,,No,12130,3766,,,,123,Regal Life of America Insurance Company,Texas,60,,,,,,,,No,12125,750,,,,0
792,920,American National Life Insurance Company of Texas,Louisiana,34197,1114,,0,0,,,,,No,360647.47,225608.32,,,0,121.2200628,American National Life Insurance Company of Texas,Louisiana,930,,,,,,,,No,287452.06,134192.88,,,,0
800,928,American National Insurance Company,New Mexico,34441,118,,0,0,,,,,No,14634.00165,15300.6726,,,0,-5.649753814,American National Insurance Company,New Mexico,108,,,,,,,,No,12654.8,386.76,,,,0
802,930,UnitedHealthcare Insurance Company of the River Valley,Illinois,34446,1800,198542,0,0,-1540017.03,,,"($1,540,017.03)",No,747975.75,307176.16,123952.82,14713.81,0,167.8516444,UnitedHealthcare Insurance Company of the River Valley,Illinois,2645,203050,0,0,-2373664.9,,,"($2,373,664.90)",No,1057632.37,416438.84,106577.94,35365.81,0,0
803,931,American National Life Insurance Company of Texas,Washington,34473,50,,0,0,,,,,No,12140.64,503.7,,,0,232.7388,American National Life Insurance Company of Texas,Washington,36,,,,,,,,No,9228.28,0,,,,0
807,936,American General Life Insurance Company,North Carolina,34598,1332,,,,,,,,No,5045,-436,,,,4.114864865,American General Life Insurance Company,North Carolina,1176,,,,,,,,No,4277,2006,,,,0
809,939,Aetna Life Insurance Company,Washington,34673,216,274491,0,0,-4980835.16,,,"($4,980,835.16)",No,80459.49,41364.93,9029.95,2195.38,0,129.024213,Aetna Life Insurance Company,Washington,660,221783,0,0,-4146219.54,,,"($4,146,219.54)",No,301811.41,573395.47,73888.86,13013.26,109.93,0
811,942,Cigna Health and Life Insurance Company,West Virginia,34772,42,0,0,0,0,,,,No,12920,14771,0,44,1,-45.14285714,Cigna Health and Life Insurance Company,West Virginia,32,0,0,0,0,,,,No,6154,82944,0,0,0,0
812,943,The United States Life Ins. Co. in the City of New York,Oklahoma,34804,3312,,,,,,,,No,181142,124188,0,0,0,17.19625604,The United States Life Ins. Co. in the City of New York,Oklahoma,3097,,,,,,,,No,157815,107880,0,0,0,0
818,950,American National Insurance Company,Alabama,35008,294,,0,0,,,,,No,8569.997315,-1264,,,0,33.44897046,American National Insurance Company,Alabama,267,,,,,,,,No,8413.1,-54,,,,0
820,953,Network Health Insurance Corporation,Wisconsin,35166,6115,20736,0,0,0,,,,Yes,104999,1846,0,0,0,16.8688471,Network Health Insurance Corporation,Wisconsin,4873,18173,0,0,0,,,,Yes,82313,43297,749,0,0,0
821,954,Kanawha Insurance Company ,Maine,35168,387,,,,,,,,No,30179,188247,,,,-408.4444444,Kanawha Insurance Company ,Maine,345,,,,,,,,No,27099,102430,0,0,0,0
822,955,Kanawha Insurance Company ,Virginia,35205,710,,,,,,,,No,40259,57618,,,,-24.44929577,Kanawha Insurance Company ,Virginia,659,,,,,,,,No,28297,16768,0,0,0,0
825,959,American National Insurance Company,West Virginia,35322,24,,0,0,,,,,No,17437.0241,29634.8837,,,0,-508.24415,American National Insurance Company,West Virginia,24,,,,,,,,No,17522.97,4728.99,,,,0
828,962,"UnitedHealthcare Plan of the River Valley, Inc.",Tennessee,35351,200,21186,0,0,0,,,,No,65325.21,23362.53,2979.2,2228.14,0,183.7767,"UnitedHealthcare Plan of the River Valley, Inc.",Tennessee,130,12383,0,0,0,,,,No,45074.65,34374.34,1107.25,1877.09,0,0
829,963,Wilton Reassurance Company,West Virginia,35364,25,,,,,,,,No,687,0,,,,27.48,Wilton Reassurance Company,West Virginia,14,,,,,,,,No,182,0,,,,0
834,968,Kanawha Insurance Company ,Kansas,35480,204,,,,,,,,No,11678,49631,,,,-186.0441176,Kanawha Insurance Company ,Kansas,204,,,,,,,,No,13447,9230,0,0,0,0
835,969,American Family Mutual Insurance Company,North Dakota,35503,2290,,,,,,,,No,693971,437085,5046,,,109.9737991,American Family Mutual Insurance Company,North Dakota,75,,,,,,,,No,18768,27,0,,,0
837,971,American National Insurance Company,Iowa,35549,170,,0,0,,,,,No,68326.60633,16186.4627,,,0,306.7067272,American National Insurance Company,Iowa,156,,,,,,,,No,58998.97,30859.0477,,,,0
846,981,The Guardian Life Insurance Company of America,Colorado,35897,84,,,,,,,,No,1239,11718.0024,,,,-124.7500286,The Guardian Life Insurance Company of America,Colorado,81,,,,,,,,No,1723,4269.5364,,,,0
854,990,The United States Life Ins. Co. in the City of New York,Indiana,36107,5887,,,,,,,,No,325256,209258,0,0,0,19.70409377,The United States Life Ins. Co. in the City of New York,Indiana,5373,,,,,,,,No,257365,192497,0,0,0,0
861,998,Companion Life Insurance Company,North Carolina,36256,18321,,,,,,,,No,596979,375009,177355,,,2.435183669,Companion Life Insurance Company,North Carolina,42,321,,,,,,,No,6437,3547,329,,,0
865,1002,Shelter Life Insurance Company,Texas,36403,36,0,0,0,0,,,,No,1935.74,1240.69,0,0,0,19.30694444,Shelter Life Insurance Company,Texas,24,0,0,0,0,,,,No,2084.49,-83.17,0,0,0,0
866,1003,State Farm Mutual Automobile Insurance Company,Ohio,36428,2974,0,0,0,0,,,,No,1389597.41,821396.52,0,0,0,191.0561163,State Farm Mutual Automobile Insurance Company,Ohio,2008,0,0,0,0,,,,No,1015543.47,522858.9,0,0,0,0
868,1005,Grand Valley Health Plan,Michigan,36622,569,6856,,,,,,,No,240871,215162.36,,,,45.18214411,Grand Valley Health Plan,Michigan,102,2832,,,,,,,No,63061,31274,,,,0
871,1008,TransAmerica Premier Life Insurance,Washington,36688,12,,,,,,,,No,103,0,,,,8.583333333,TransAmerica Premier Life Insurance,Washington,12,,,,,,,,No,157,0,,,,0
872,1009,Loyal American Life Insurance Company,North Carolina,36832,3,,,,,,,,No,25,400,,,,-125,Loyal American Life Insurance Company,North Carolina,3,,,,,,,,No,25,374,,,,0
874,1012,New Era Life Insurance Company,Arizona,36885,100,,,,,,,,No,36070,12149,,,,239.21,New Era Life Insurance Company,Arizona,75,,,,,,,,No,22524,17663,,,,0
875,1013,Philadelphia American Life Insurance Company,Missouri,36918,24,,,,,,,,No,7323,245,,,,294.9166667,Philadelphia American Life Insurance Company,Missouri,24,,,,,,,,No,7840,5900,,,,0
876,1014,United Healthcare Life Insurance Company,District of Columbia,36921,74,0,0,0,0,,,,No,28353.08,4126.12,290.99,0,0,323.4590541,United Healthcare Life Insurance Company,District of Columbia,68,0,0,0,0,,,,No,29094.39,1161.23,0,0,0,0
889,1030,The United States Life Ins. Co. in the City of New York,Alaska,37236,1995,,,,,,,,No,195263,139747,0,0,0,27.82756892,The United States Life Ins. Co. in the City of New York,Alaska,1830,,,,,,,,No,142809,99809,0,0,0,0
891,1033,National Foundation Life Insurance Company,Pennsylvania,37352,3895,,0,0,,,,,No,674334,592403,3183,0,0,20.21771502,National Foundation Life Insurance Company,Pennsylvania,3147,,0,0,,,,,No,565590,1191337,0,0,0,0
893,1035,The United States Life Ins. Co. in the City of New York,Tennessee,37444,9085,,,,,,,,No,527376,361084,0,0,0,18.30401761,The United States Life Ins. Co. in the City of New York,Tennessee,8538,,,,,,,,No,398922,339019,0,0,0,0
895,1037,Wilton Reassurance Company,South Dakota,37468,194,,,,,,,,No,258,0,,,,1.329896907,Wilton Reassurance Company,South Dakota,60,,,,,,,,No,83,1148,,,,0
896,1038,Life of America,Indiana,37481,38,,,,,,,,No,10529,2808,,,,203.1842105,Life of America,Indiana,36,,,,,,,,No,9327,2279,,,,0
901,1043,Wilton Reassurance Company,Michigan,37707,76,,,,,,,,No,76,0,,,,1,Wilton Reassurance Company,Michigan,35,,,,,,,,No,35,0,,,,0
909,1053,State Farm Mutual Automobile Insurance Company,Indiana,37897,1800,0,0,0,0,,,,No,874122.94,550446.69,0,0,0,179.8201389,State Farm Mutual Automobile Insurance Company,Indiana,1181,0,0,0,0,,,,No,560955.19,790473.89,0,0,0,0
910,1054,American National Life Insurance Company of Texas,Delaware,37912,72,,0,0,,,,,No,29710,26372.15,,,0,46.35902778,American National Life Insurance Company of Texas,Delaware,56,,,,,,,,No,25966.25,35659.66,,,,0
911,1055,The United States Life Ins. Co. in the City of New York,Nevada,37948,6191,,,,,,,,No,259808,169274,0,0,0,14.62348571,The United States Life Ins. Co. in the City of New York,Nevada,6095,,,,,,,,No,209418,177093,0,0,0,0
914,1058,Shelter Life Insurance Company,Louisiana,38056,108,0,0,0,0,,,,No,4469,21908.28,0,0,0,-161.4748148,Shelter Life Insurance Company,Louisiana,84,0,0,0,0,,,,No,3612.34,49837.76,0,0,0,0
915,1059,National Foundation Life Insurance Company,California,38092,252,,0,0,,,,,No,64550,3347,0,0,0,242.8690476,National Foundation Life Insurance Company,California,227,,0,0,,,,,No,52558,3988,0,0,0,0
923,1067,Companion Life Insurance Company,Colorado,38283,11256,,,,,,,,No,395726,175575,147024,,,6.496712864,Companion Life Insurance Company,Colorado,135,64,,,,,,,No,5506,3238,480,,,0
928,1072,Wilton Reassurance Company,Maine,38424,24,,,,,,,,No,31,0,,,,1.291666667,Wilton Reassurance Company,Maine,8,,,,,,,,No,11,0,,,,0
929,1073,Shelter Life Insurance Company,Arkansas,38433,180,0,0,0,0,,,,No,2091.17,-5705.7,0,0,0,43.31594444,Shelter Life Insurance Company,Arkansas,144,0,0,0,0,,,,No,1872.72,948.13,0,0,0,0
937,1082,"UnitedHealthcare of the Mid-Atlantic, Inc.",Virginia,38599,31,0,0,0,0,,,,No,36306.49,10372.81,0,0,0,836.5703226,"UnitedHealthcare of the Mid-Atlantic, Inc.",Virginia,8,0,0,0,0,,,,No,7709.34,468.38,0,0,0,0
942,1089,Aetna Life Insurance Company,Wisconsin,38752,32,12207,0,0,-226568.25,,,"($226,568.25)",No,6688.06,8703.7,9505.96,-497.17,0,-344.5134375,Aetna Life Insurance Company,Wisconsin,79,51845,0,0,-3018035.29,,,"($3,018,035.30)",No,14825.64,8090.36,2361.79,370.61,0,0
944,1091,The Chesapeake Life Insurance Company,Texas,38758,3262,0,0,0,0,,,,No,598678,229339.3799,21305.13752,8402.389285,169.23,104.065562,The Chesapeake Life Insurance Company,Texas,506,0,0,0,0,,,,No,95243,20750.59645,2722.536657,3327.970203,0,0
945,1092,Federated Mutual Insurance Company,Georgia,38835,91,36366,0,0,-55911.28,,,"($55,911.28)",No,52560.4,204532.76,0,0,0,-1670.025934,Federated Mutual Insurance Company,Georgia,59,44887,0,0,-828282.28,,,"($818,531.15)",No,31164,103869.42,0,0,0,0
948,1095,United Healthcare Life Insurance Company,New Mexico,38908,664,0,0,0,0,,,,No,243430.24,98690.02,15885.36,3500.1,0,188.7872892,United Healthcare Life Insurance Company,New Mexico,453,0,0,0,0,,,,No,194315.79,254529.51,15550.33,4530.96,201.24,0
950,1097,The Guardian Life Insurance Company of America,Wyoming,38921,24,,,,,,,,No,313,40.138,,,,11.36925,The Guardian Life Insurance Company of America,Wyoming,24,,,,,,,,No,307,513.7664,,,,0
953,1101,National Foundation Life Insurance Company,Missouri,38968,57,,0,0,,,,,No,12650,490,0,0,0,213.3333333,National Foundation Life Insurance Company,Missouri,38,,0,0,,,,,No,9039,1306,0,0,0,0
955,1103,Aetna Life Insurance Company,Colorado,39041,10084,10196,0,0,0,,,,No,4495568.37,4506995.16,648793.44,41120.37,49.09,-69.55470944,Aetna Life Insurance Company,Colorado,5187,9524,0,0,0,,,,No,2755458.09,3534876.54,481606.55,26877.48,16875.71,0
958,1106,Aetna Life Insurance Company,Kentucky,39127,88,0,0,0,0,,,,No,14587.7,25306.61,19572.64,1907.7,0,-365.9005682,Aetna Life Insurance Company,Kentucky,36,0,0,0,0,,,,No,4628.95,10692.41,4318.65,-157.53,0,0
964,1117,Medica Insurance Company,North Dakota,39364,18289,80761,,,-987988.94,,,"($987,988.94)",No,3887599.05,2289058.85,,,,87.4044617,Medica Insurance Company,North Dakota,13459,64618,,,-79597,,,"($79,596.59)",No,3338127.27,2110928.25,,,,0
965,1118,Union Labor Life Insurance Company,New York,39383,949,,,,,,,,No,218788,2021824,,,,-1899.932561,Union Labor Life Insurance Company,New York,36,,,,,,,,No,7688,234383,,,,0
966,1119,Kanawha Insurance Company ,West Virginia,39386,1308,,,,,,,,No,131695,194718,,,,-48.18272171,Kanawha Insurance Company ,West Virginia,1211,,,,,,,,No,132167,199204,0,0,0,0
972,1126,New York Life Insurance Company,Vermont,39578,60,,,,,,,,No,-3062.257207,20286.7,,,,-389.1492868,New York Life Insurance Company,Vermont,60,0,0,0,0,,,,No,24781,-2179,0,0,0,0
976,1130,Nationwide Life Insurance Company,New York,39821,240,,,,,,,,No,16000,3000,,,,54.16666667,Nationwide Life Insurance Company,New York,252,,,,,,,,No,15000,4000,,,,0
977,1132,Shelter Life Insurance Company,Tennessee,39842,144,0,0,0,0,,,,No,6510.86,130660.04,0,0,0,-862.1470833,Shelter Life Insurance Company,Tennessee,108,0,0,0,0,,,,No,6091.25,9195.15,0,0,0,0
979,1135,Kanawha Insurance Company ,Minnesota,39955,191,,,,,,,,No,9730,34313,,,,-128.7068063,Kanawha Insurance Company ,Minnesota,146,,,,,,,,No,9611,29141,0,0,0,0
985,1144,American General Life Insurance Company,Texas,40129,336,,,,,,,,No,2370,-808,,,,9.458333333,American General Life Insurance Company,Texas,264,,,,,,,,No,1783,-1756,,,,0
986,1145,Standard Life and Accident Insurance Company,Louisiana,40145,79,,0,0,,,,,No,16066.41,4144.09,,,0,150.915443,Standard Life and Accident Insurance Company,Louisiana,36,,,,,,,,No,2356.25,-36,,,,0
994,1156,National Foundation Life Insurance Company,Illinois,40373,331,,0,0,,,,,No,118062,24714,0,0,0,282.0181269,National Foundation Life Insurance Company,Illinois,184,,0,0,,,,,No,67537,38282,0,0,0,0
1000,1163,Bluegrass Family Health,Kentucky,40586,82,71709,,,-1254224,,,"($1,254,224.27)",Yes,28409,53958,16780,1857,,-538.8536585,"Baptist Health Plan, Inc.",Kentucky,51,57606,,,-1208815,,,"($1,208,814.63)",Yes,18184,123278.5283,16415,1862,,0
