Company Name,State,HIOS ID,MM Individual,MM Small Group,Expected Reinsurance,Expected Risk Adjustment Individual,Expected Risk Adjustment Small Group,Actual Reinsurance,Actual Risk Adjustment Individual,Actual Risk Adjustment Small Group,Nonprofit,Expected Reinsurance Per Member Month,Actual Reinsuance Per Member Month Individual,Expected Risk Adjustment Per Member Month Individual,Actual Risk Adjustment Per Member Month Individual,Expected Risk Adjustment Per Member Month Small Group,Actual Risk Adjustment Per Member Month Small Group,Difference in Reinsurance Per Member Month,Difference in Risk Adjustment Individual Per Member Month,Difference in Risk Adjustment Small Group Per Member Month
State Farm Mutual Automobile Insurance Company,Alabama,73608,446,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
John Alden Life Insurance Company,Connecticut,73609,987,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Union Security Insurance Company,North Carolina,73742,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mid-West National Life Insurance Company of Tennessee,Wyoming,73822,682,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Shelter Life Insurance Company,Kentucky,73850,60,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
"Cigna HealthCare of North Carolina, Inc.",North Carolina,73943,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Cigna HealthCare of Colorado, Inc.",Colorado,74134,2,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
United Healthcare Life Insurance Company,Georgia,74189,11225,0,960744.87,586323.62,0,"$961,244.88 ","$586,323.62 ",$-,No,85.58974343,85.63428775,52.23373007,52.23373007,#DIV/0!,#VALUE!,0.044544321,0,#VALUE!
Aetna Life Insurance Company,Rhode Island,74221,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Golden Rule Insurance Company,Michigan,74304,429998,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Golden Rule Insurance Company,Utah,74451,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Cigna Health and Life Insurance Company,Missouri,74483,63041,0,2681569,1879513,0,"$2,682,965.04 ","$1,879,512.84 ",$-,No,42.53690455,42.55904951,29.81413683,29.81413429,#DIV/0!,#VALUE!,0.022144953,-2.53803E-06,#VALUE!
Golden Rule Insurance Company,New York,74539,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Time Insurance Company,Oregon,74571,47345,0,2404772,2081868,0,"$2,406,023.93 ","$2,081,868.31 ",$-,No,50.79252297,50.81896568,43.97228852,43.97229507,#DIV/0!,#VALUE!,0.026442708,6.54768E-06,#VALUE!
Golden Rule Insurance Company,Alabama,74575,82852,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Time Insurance Company,Hawaii,74756,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"MD-Individual Practice Association, Inc",Maryland,74790,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
McLaren Health Plan Community,Michigan,74917,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Coventry Health Care of Missouri, Inc.",Illinois,75104,229,0,0,-8129.84,0,$0.00 ,"($8,129.85)",$-,No,0,0,-35.50148472,-35.50152838,#DIV/0!,#VALUE!,0,-4.36681E-05,#VALUE!
State Farm Mutual Automobile Insurance Company,Montana,75263,1018,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Cigna Health and Life Insurance Company,Arkansas,75310,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New York Life Insurance Company,Montana,75379,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Chesapeake Life Insurance Company,Missouri,75980,52,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Mid-West National Life Insurance Company of Tennessee,Oregon,75981,2721,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
UnitedHealthcare Insurance Company,North Dakota,76311,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
UnitedHealthcare Insurance Company,South Dakota,76458,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Golden Rule Insurance Company,South Dakota,76666,65,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Mid-West National Life Insurance Company of Tennessee,South Carolina,76750,2059,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Cigna Health and Life Insurance Company,Kansas,76763,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mid-West National Life Insurance Company of Tennessee,Missouri,76843,1368,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
John Alden Life Insurance Company,New Hampshire,77118,199,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Trustmark Life Insurance Company,Utah,77299,0,0,,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New York Life Insurance Company,Louisiana,77341,72,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
State Farm Mutual Automobile Insurance Company,Pennsylvania,77586,614,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
"Coventry Health Care of Missouri, Inc.",Missouri,77660,825,0,37673.95,34117.16,0,"$37,693.57 ","$34,117.16 ",$-,No,45.66539394,45.68917576,41.35413333,41.35413333,#DIV/0!,#VALUE!,0.023781818,0,#VALUE!
Time Insurance Company,Massachusetts,77914,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
US Health and Life Insurance Company,Illinois,78009,,0,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Aetna Life Insurance Company,Iowa,78252,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mid-West National Life Insurance Company of Tennessee,Florida,78266,6755,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Golden Rule Insurance Company,Kansas,78558,21412,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
UnitedHealthcare Insurance Company,Vermont,78595,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New York Life Insurance Company,Oregon,78614,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
All Savers Insurance Company,Ohio,78726,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New York Life Insurance Company,Ohio,78905,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New York Life Insurance Company,Idaho,79264,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Aetna Life Insurance Company,New Mexico,79440,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Security Insurance Company,Massachusetts,79454,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Connecticut General Life Insurance Company,Colorado,79632,216170,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Connecticut General Life Insurance Company,New Jersey,79645,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"HealthAmerica Pennsylvania, Inc.",Ohio,79953,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mid-West National Life Insurance Company of Tennessee,Michigan,80331,1946,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Connecticut General Life Insurance Company,Mississippi,80564,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mid-West National Life Insurance Company of Tennessee,Ohio,80592,1852,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Union Security Insurance Company,Michigan,80639,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Cigna Health and Life Insurance Company,Nebraska,80815,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New York Life Insurance Company,Iowa,80969,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New York Life Insurance Company,Illinois,81468,12,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Cigna Health and Life Insurance Company,American Samoa,81649,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Security Insurance Company,Tennessee,81875,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Medical Mutual of Ohio,Michigan,81907,0,0,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mid-West National Life Insurance Company of Tennessee,Virginia,81986,2007,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Connecticut General Life Insurance Company,American Samoa,82125,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New York Life Insurance Company,Oklahoma,82157,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
State Farm Mutual Automobile Insurance Company,South Carolina,82409,712,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Mid-West National Life Insurance Company of Tennessee,Montana,82582,912,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
State Farm Mutual Automobile Insurance Company,Oregon,83764,965,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Connecticut General Life Insurance Company,New York,83836,3148,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
New York Life Insurance Company,Texas,83915,36,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Connecticut General Life Insurance Company,Oregon,84139,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mid-West National Life Insurance Company of Tennessee,Delaware,84677,692,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
John Alden Life Insurance Company,Hawaii,84813,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Aetna Life Insurance Company,Massachusetts,84871,21,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Trustmark Life Insurance Company,Nebraska,84908,0,0,,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
State Farm Mutual Automobile Insurance Company,Illinois,85094,1705,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Cigna Health and Life Insurance Company,Kentucky,85270,24,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
State Farm Mutual Automobile Insurance Company,California,85589,1811,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Connecticut General Life Insurance Company,Wyoming,85708,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Healthcare Life Insurance Company,Connecticut,85732,11893,0,1061181.93,2156886.02,0,"$1,061,734.21 ","$2,156,886.02 ",$-,No,89.22743883,89.27387623,181.357607,181.357607,#DIV/0!,#VALUE!,0.0464374,0,#VALUE!
John Alden Life Insurance Company,New Jersey,85989,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Connecticut General Life Insurance Company,Northern Mariana Islands,85994,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New York Life Insurance Company,Florida,86171,24,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Mid-West National Life Insurance Company of Tennessee,California,86364,18430,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
UnitedHealthcare Insurance Company,New York,86393,44,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Aetna Life Insurance Company,Vermont,86487,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Golden Rule Insurance Company,North Carolina,86508,57336,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Time Insurance Company,Connecticut,86542,44378,0,2418853,905352,0,"$2,420,111.46 ","$905,352.48 ",$-,No,54.50567849,54.53403623,20.40091937,20.40093019,#DIV/0!,#VALUE!,0.028357745,1.08162E-05,#VALUE!
Connecticut General Life Insurance Company,Delaware,86622,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Security Insurance Company,North Dakota,86699,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Madison National Life Insurance Company, Inc.",Wyoming,86866,,0,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Connecticut General Life Insurance Company,Texas,86924,242562,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
New York Life Insurance Company,Virginia,87585,60,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Aetna Life Insurance Company,North Dakota,87988,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
John Alden Life Insurance Company,California,87997,464,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Group Health Incorporated,New York,88000,618,0,52138.69,-72128.3,-547.64,"$52,165.83 ","($72,128.30)",($547.64),Yes,84.3668123,84.41072816,-116.7124595,-116.7124595,#DIV/0!,#DIV/0!,0.043915858,0,#DIV/0!
Nippon Life Insurance Company of America,New York,88713,,0,,,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Healthcare Life Insurance Company,Wisconsin,89106,51450,0,2292719.96,-1371221.77,0,"$2,293,913.16 ","($1,371,221.77)",$-,No,44.56209835,44.5852898,-26.65154072,-26.65154072,#DIV/0!,#VALUE!,0.023191448,0,#VALUE!
New York Life Insurance Company,Guam,89479,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Golden Rule Insurance Company,Delaware,89587,4600,0,53670.03,-245126.83,0,"$53,697.97 ","($245,126.83)",$-,No,11.66739783,11.67347174,-53.2884413,-53.2884413,#DIV/0!,#VALUE!,0.006073913,0,#VALUE!
New York Life Insurance Company,Hawaii,90017,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Cigna Health and Life Insurance Company,Oregon,90025,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
State Farm Mutual Automobile Insurance Company,Iowa,90129,731,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
United Healthcare Life Insurance Company,Arizona,90169,17049,0,737557.05,784206.91,0,"$737,940.90 ","$784,206.91 ",$-,No,43.26101531,43.28352983,45.99723796,45.99723796,#DIV/0!,#VALUE!,0.022514517,0,#VALUE!
Union Security Insurance Company,Illinois,90335,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
State Farm Mutual Automobile Insurance Company,Washington,90359,664,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Golden Rule Insurance Company,South Carolina,90806,168324,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Cigna Health and Life Insurance Company,Rhode Island,90874,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New York Life Insurance Company,Rhode Island,91174,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mid-West National Life Insurance Company of Tennessee,Arizona,91370,1493,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
New York Life Insurance Company,Arkansas,91729,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Shelter Life Insurance Company,Iowa,91732,12,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
John Alden Life Insurance Company,Oregon,91837,1145,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
State Farm Mutual Automobile Insurance Company,Utah,91901,221,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Cigna Health and Life Insurance Company,Louisiana,92076,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Golden Rule Insurance Company,Maryland,92113,61911,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
"Coventry Health Plan of Fl., Inc.",Florida,92120,41870,0,489283.73,-1502492.36,0,"$489,538.37 ","($1,502,492.36)",$-,No,11.6857829,11.69186458,-35.88469931,-35.88469931,#DIV/0!,#VALUE!,0.006081681,0,#VALUE!
All Savers Insurance Company,Colorado,92137,1504,0,73070.96,168907.5,0,"$73,109.00 ","$168,907.50 ",$-,No,48.58441489,48.60970745,112.3055186,112.3055186,#DIV/0!,#VALUE!,0.025292553,0,#VALUE!
United Healthcare Life Insurance Company,Colorado,92291,20210,0,1254457.98,2513503.26,0,"$1,255,110.84 ","$2,513,503.26 ",$-,No,62.0711519,62.10345571,124.3692855,124.3692855,#DIV/0!,#VALUE!,0.03230381,0,#VALUE!
Connecticut General Life Insurance Company,Louisiana,92435,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Aetna Life Insurance Company,South Dakota,92619,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
State Farm Mutual Automobile Insurance Company,New Jersey,92722,460,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Cigna Health and Life Insurance Company,Oklahoma,94245,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trustmark Life Insurance Company,Washington,94388,318,0,,-35609.15,0,$0.00 ,"($35,609.15)",$-,No,0,0,-111.9784591,-111.9784591,#DIV/0!,#VALUE!,0,0,#VALUE!
Connecticut General Life Insurance Company,California,94625,43,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Connecticut General Life Insurance Company,Georgia,95022,96235,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
John Alden Life Insurance Company,Utah,95118,404,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Time Insurance Company,District of Columbia,95120,571,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Mid-West National Life Insurance Company of Tennessee,Oklahoma,95237,2866,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
New York Life Insurance Company,Connecticut,95244,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
State Farm Mutual Automobile Insurance Company,New Mexico,95280,442,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Connecticut General Life Insurance Company,Puerto Rico,96213,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Shelter Life Insurance Company,Indiana,96244,12,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
New York Life Insurance Company,California,96618,84,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
New York Life Insurance Company,South Dakota,96725,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"U.S. Behavioral Health Plan, CA",California,96782,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Cigna Health and Life Insurance Company,Alabama,96791,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New York Life Insurance Company,Puerto Rico,97031,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New York Life Insurance Company,Delaware,97131,12,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
John Alden Life Insurance Company,New York,97324,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Golden Rule Insurance Company,West Virginia,97356,36079,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Cigna Health and Life Insurance Company,Washington,97549,0,0,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New York Life Insurance Company,Colorado,97604,12,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
New York Life Insurance Company,Pennsylvania,97645,36,0,0,0,0,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Time Insurance Company,New Mexico,97646,2858,0,0,6671,0,$0.00 ,"$6,670.67 ",$-,No,0,0,2.334149755,2.33403429,#DIV/0!,#VALUE!,0,-0.000115465,#VALUE!
