,Company Name_x,State_x,HIOS ID,MM Individual_x,MM Small Group_x,Expected Reinsurance_x,Expected Risk Adjustment Individual_x,Expected Risk Adjustment Small Group_x,Actual Reinsurance_x,Actual Risk Adjustment Individual_x,Actual Risk Adjustment Small Group_x,Nonprofit_x,Expected Reinsurance Per Member Month_x,Actual Reinsurance Per Member Month_x,Expected Risk Adjustment Per Member Month Individual_x,Actual Risk Adjustment Per Member Month Individual_x,Expected Risk Adjustment Per Member Month Small Group_x,Actual Risk Adjustment Per Member Month Small Group_x,Difference in Reinsurance Per Member Month_x,Difference in Risk Adjustment Individual Per Member Month_x,Difference in Risk Adjustment Small Group Per Member Month_x,Total Loss 2014,Company Name_y,State_y,MM Individual_y,MM Small Group_y,Expected Reinsurance_y,Expected Risk Adjustment Individual_y,Expected Risk Adjustment Small Group_y,Actual Reinsurance_y,Actual Risk Adjustment Individual_y,Actual Risk Adjustment Small Group_y,Nonprofit_y,Expected Reinsurance Per Member Month_y,Actual Reinsurance Per Member Month_y,Expected Risk Adjustment Per Member Month Individual_y,Actual Risk Adjustment Per Member Month Individual_y,Expected Risk Adjustment Per Member Month Small Group_y,Actual Risk Adjustment Per Member Month Small Group_y,Difference in Reinsurance Per Member Month_y,Difference in Risk Adjustment Individual Per Member Month_y,Difference in Risk Adjustment Small Group Per Member Month_y
961,Connecticut General Life Insurance Company,Ohio,51750.0,32.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Connecticut General Life Insurance Company,Ohio,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,
962,Golden Rule Insurance Company,Wisconsin,51984.0,342074.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Golden Rule Insurance Company,Wisconsin,245731.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
963,Cigna Health and Life Insurance Company,Illinois,52129.0,7.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Cigna Health and Life Insurance Company,Illinois,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,
964,State Farm Mutual Automobile Insurance Company,District of Columbia,53386.0,40.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,State Farm Mutual Automobile Insurance Company,District of Columbia,35.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
965,Golden Rule Insurance Company,Pennsylvania,53593.0,173174.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Golden Rule Insurance Company,Pennsylvania,112145.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
966,Connecticut General Life Insurance Company,Washington,53739.0,20.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Connecticut General Life Insurance Company,Washington,12.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
967,Connecticut General Life Insurance Company,Kentucky,53769.0,12.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Connecticut General Life Insurance Company,Kentucky,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,
968,Shelter Life Insurance Company,Illinois,54570.0,36.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Shelter Life Insurance Company,Illinois,24.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
969,State Farm Mutual Automobile Insurance Company,South Dakota,55429.0,592.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,State Farm Mutual Automobile Insurance Company,South Dakota,381.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
970,Golden Rule Insurance Company,Tennessee,56643.0,207982.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Golden Rule Insurance Company,Tennessee,152937.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
971,Cigna Health and Life Insurance Company,Mississippi,56766.0,17.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Cigna Health and Life Insurance Company,Mississippi,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,
972,HMO Minnesota ,Minnesota,57129.0,891.0,0.0,,,,,,,Yes,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,HMO Minnesota ,Minnesota,93058.0,14071.0,3271151.0,865806.0,-307685.0,3272853.74,865806.78,-307685.44,Yes,35.15,35.17,9.3,9.3,-21.87,-21.87,0.02,0.0,0.0
973,Aetna Health Inc. (a Pennsylvania corporation),Kansas,57850.0,14.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Aetna Health Inc. (a Pennsylvania corporation),Kansas,0.0,140.0,0.0,0.0,-152312.87,,,-152312.88,No,,,,,-1087.95,-1087.95,,,0.0
974,Aetna Life Insurance Company,Hawaii,58275.0,2.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Aetna Life Insurance Company,Hawaii,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,
975,Shelter Life Insurance Company,Mississippi,58634.0,96.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Shelter Life Insurance Company,Mississippi,84.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
976,Trustmark Life Insurance Company,Oregon,59129.0,437.0,0.0,,-13431.59,0.0,,,-13431.59,No,0.0,,-30.74,,,,,,,,Trustmark Life Insurance Company,Oregon,214.0,0.0,,-17648.46,0.0,0.0,-17648.46,,No,0.0,0.0,-82.47,-82.47,,,0.0,0.0,
977,Golden Rule Insurance Company,Louisiana,59176.0,44403.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Golden Rule Insurance Company,Louisiana,31245.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
978,Golden Rule Insurance Company,District of Columbia,59557.0,3991.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Golden Rule Insurance Company,District of Columbia,382.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
979,Golden Rule Insurance Company,New Mexico,60037.0,3860.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Golden Rule Insurance Company,New Mexico,183.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
980,Mid-West National Life Insurance Company of Tennessee,District of Columbia,61567.0,454.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Mid-West National Life Insurance Company of Tennessee,District of Columbia,77.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
981,State Farm Mutual Automobile Insurance Company,Kansas,61652.0,1476.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,State Farm Mutual Automobile Insurance Company,Kansas,1106.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
982,Golden Rule Insurance Company,California,61956.0,12.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Golden Rule Insurance Company,California,12.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
983,Mid-West National Life Insurance Company of Tennessee,Nebraska,62627.0,4469.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Mid-West National Life Insurance Company of Tennessee,Nebraska,500.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
984,Golden Rule Insurance Company,Arkansas,62722.0,105536.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Golden Rule Insurance Company,Arkansas,82774.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
985,Mid-West National Life Insurance Company of Tennessee,New Mexico,63287.0,7106.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Mid-West National Life Insurance Company of Tennessee,New Mexico,1180.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
986,Connecticut General Life Insurance Company,Michigan,64677.0,54.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Connecticut General Life Insurance Company,Michigan,48.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
987,Aetna Life Insurance Company,Montana,64929.0,6.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Aetna Life Insurance Company,Montana,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,
988,State Farm Mutual Automobile Insurance Company,Kentucky,65550.0,24.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,State Farm Mutual Automobile Insurance Company,Kentucky,24.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
989,United Healthcare Life Insurance Company,Illinois,66303.0,7387.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,United Healthcare Life Insurance Company,Illinois,18886.0,0.0,341552.54,-368112.74,0.0,341730.3,-368112.74,,No,18.08,18.09,-19.49,-19.49,,,0.01,0.0,
990,United Healthcare Life Insurance Company,Louisiana,66593.0,608.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,United Healthcare Life Insurance Company,Louisiana,15331.0,0.0,225754.6,183391.29,0.0,225872.1,198496.43,,No,14.73,14.73,11.96,12.95,,,0.01,0.99,
991,"Blue Care of Michigan, Inc.",Michigan,66835.0,3404.0,0.0,0.0,0.0,0.0,,,,Yes,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,"Blue Care of Michigan, Inc.",Michigan,2254.0,0.0,0.0,0.0,0.0,,,,Yes,0.0,0.0,0.0,0.0,,,0.0,0.0,
992,Shelter Life Insurance Company,Nebraska,66885.0,36.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Shelter Life Insurance Company,Nebraska,24.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
993,The Chesapeake Life Insurance Company,South Carolina,67334.0,198.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The Chesapeake Life Insurance Company,South Carolina,32.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
994,Aetna Life Insurance Company,Minnesota,67450.0,501.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Aetna Life Insurance Company,Minnesota,42.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
995,State Farm Mutual Automobile Insurance Company,Virginia,67773.0,2016.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,State Farm Mutual Automobile Insurance Company,Virginia,1239.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
996,Union Security Life Insurance Company of New York,New York,68253.0,227.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Union Security Life Insurance Company of New York,New York,196.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
997,United Healthcare Life Insurance Company,Nebraska,68389.0,5777.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,United Healthcare Life Insurance Company,Nebraska,45570.0,0.0,2873828.48,3559594.19,0.0,2875324.11,3559594.19,,No,63.06,63.1,78.11,78.11,,,0.03,0.0,
998,"UnitedHealthcare of the Midwest, Inc.",Missouri,69117.0,24.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,"UnitedHealthcare of the Midwest, Inc.",Missouri,16.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
999,Connecticut General Life Insurance Company,South Carolina,69401.0,3147.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Connecticut General Life Insurance Company,South Carolina,2091.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1000,Mid-West National Life Insurance Company of Tennessee,Alaska,70167.0,6676.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Mid-West National Life Insurance Company of Tennessee,Alaska,1069.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1001,Mid-West National Life Insurance Company of Tennessee,Mississippi,70483.0,9689.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Mid-West National Life Insurance Company of Tennessee,Mississippi,1457.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1002,"UnitedHealthcare Benefits of Texas, Inc.",Texas,70754.0,75.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,"UnitedHealthcare Benefits of Texas, Inc.",Texas,57.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1003,UNICARE Life & Health Insurance Company,District of Columbia,70866.0,24.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,UNICARE Life & Health Insurance Company,District of Columbia,24.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1004,Connecticut General Life Insurance Company,South Dakota,71159.0,12.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Connecticut General Life Insurance Company,South Dakota,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,
1005,Golden Rule Insurance Company,Ohio,71559.0,474998.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Golden Rule Insurance Company,Ohio,335599.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1006,State Farm Mutual Automobile Insurance Company,Oklahoma,71651.0,1619.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,State Farm Mutual Automobile Insurance Company,Oklahoma,982.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1007,"MD-Individual Practice Association, Inc",District of Columbia,71834.0,13.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,"MD-Individual Practice Association, Inc",District of Columbia,2.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1008,Golden Rule Insurance Company,Arizona,72269.0,680632.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Golden Rule Insurance Company,Arizona,492778.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1009,Golden Rule Insurance Company,Georgia,72323.0,121353.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Golden Rule Insurance Company,Georgia,90105.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1010,Connecticut General Life Insurance Company,New Hampshire,73027.0,28.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Connecticut General Life Insurance Company,New Hampshire,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,
1011,"Cigna HealthCare of South Carolina, Inc.",South Carolina,73033.0,4.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,"Cigna HealthCare of South Carolina, Inc.",South Carolina,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,
1012,State Farm Mutual Automobile Insurance Company,Alabama,73608.0,622.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,State Farm Mutual Automobile Insurance Company,Alabama,446.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1013,Mid-West National Life Insurance Company of Tennessee,Wyoming,73822.0,4787.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Mid-West National Life Insurance Company of Tennessee,Wyoming,682.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1014,Shelter Life Insurance Company,Kentucky,73850.0,72.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Shelter Life Insurance Company,Kentucky,60.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1015,"Cigna HealthCare of North Carolina, Inc.",North Carolina,73943.0,3.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,"Cigna HealthCare of North Carolina, Inc.",North Carolina,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,
1016,United Healthcare Life Insurance Company,Georgia,74189.0,2442.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,United Healthcare Life Insurance Company,Georgia,11225.0,0.0,960744.87,586323.62,0.0,961244.88,586323.62,,No,85.59,85.63,52.23,52.23,,,0.04,0.0,
1017,Golden Rule Insurance Company,Michigan,74304.0,599445.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Golden Rule Insurance Company,Michigan,429998.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1018,Cigna Health and Life Insurance Company,Missouri,74483.0,15.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Cigna Health and Life Insurance Company,Missouri,63041.0,0.0,2681569.0,1879513.0,0.0,2682965.04,1879512.84,,No,42.54,42.56,29.81,29.81,,,0.02,0.0,
1019,Golden Rule Insurance Company,Alabama,74575.0,117316.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Golden Rule Insurance Company,Alabama,82852.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1020,"Coventry Health Care of Missouri, Inc.",Illinois,75104.0,712.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,"Coventry Health Care of Missouri, Inc.",Illinois,229.0,0.0,0.0,-8129.84,0.0,0.0,-8129.85,,No,0.0,0.0,-35.5,-35.5,,,0.0,0.0,
1021,State Farm Mutual Automobile Insurance Company,Montana,75263.0,1415.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,State Farm Mutual Automobile Insurance Company,Montana,1018.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1022,Cigna Health and Life Insurance Company,Arkansas,75310.0,5.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Cigna Health and Life Insurance Company,Arkansas,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,
1023,The Chesapeake Life Insurance Company,Missouri,75980.0,323.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The Chesapeake Life Insurance Company,Missouri,52.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1024,Mid-West National Life Insurance Company of Tennessee,Oregon,75981.0,20189.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Mid-West National Life Insurance Company of Tennessee,Oregon,2721.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1025,UnitedHealthcare Insurance Company,North Dakota,76311.0,12.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,UnitedHealthcare Insurance Company,North Dakota,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,
1026,Golden Rule Insurance Company,South Dakota,76666.0,4169.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Golden Rule Insurance Company,South Dakota,65.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1027,Mid-West National Life Insurance Company of Tennessee,South Carolina,76750.0,15253.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Mid-West National Life Insurance Company of Tennessee,South Carolina,2059.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1028,Mid-West National Life Insurance Company of Tennessee,Missouri,76843.0,9386.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Mid-West National Life Insurance Company of Tennessee,Missouri,1368.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1029,John Alden Life Insurance Company,New Hampshire,77118.0,851.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,John Alden Life Insurance Company,New Hampshire,199.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1030,State Farm Mutual Automobile Insurance Company,Pennsylvania,77586.0,885.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,State Farm Mutual Automobile Insurance Company,Pennsylvania,614.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1031,Aetna Life Insurance Company,Iowa,78252.0,6.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Aetna Life Insurance Company,Iowa,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,
1032,Mid-West National Life Insurance Company of Tennessee,Florida,78266.0,44604.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Mid-West National Life Insurance Company of Tennessee,Florida,6755.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1033,Golden Rule Insurance Company,Kansas,78558.0,30018.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Golden Rule Insurance Company,Kansas,21412.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1034,Connecticut General Life Insurance Company,Colorado,79632.0,307516.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Connecticut General Life Insurance Company,Colorado,216170.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1035,Mid-West National Life Insurance Company of Tennessee,Michigan,80331.0,12501.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Mid-West National Life Insurance Company of Tennessee,Michigan,1946.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1036,Mid-West National Life Insurance Company of Tennessee,Ohio,80592.0,12729.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Mid-West National Life Insurance Company of Tennessee,Ohio,1852.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1037,Cigna Health and Life Insurance Company,Nebraska,80815.0,1.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Cigna Health and Life Insurance Company,Nebraska,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,
1038,Mid-West National Life Insurance Company of Tennessee,Virginia,81986.0,13203.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Mid-West National Life Insurance Company of Tennessee,Virginia,2007.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1039,State Farm Mutual Automobile Insurance Company,South Carolina,82409.0,1021.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,State Farm Mutual Automobile Insurance Company,South Carolina,712.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1040,Mid-West National Life Insurance Company of Tennessee,Montana,82582.0,6030.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Mid-West National Life Insurance Company of Tennessee,Montana,912.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1041,State Farm Mutual Automobile Insurance Company,Oregon,83764.0,1454.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,State Farm Mutual Automobile Insurance Company,Oregon,965.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1042,Connecticut General Life Insurance Company,New York,83836.0,3672.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Connecticut General Life Insurance Company,New York,3148.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1043,Connecticut General Life Insurance Company,Oregon,84139.0,19.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Connecticut General Life Insurance Company,Oregon,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,
1044,Mid-West National Life Insurance Company of Tennessee,Delaware,84677.0,4483.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Mid-West National Life Insurance Company of Tennessee,Delaware,692.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
